,cid,cidname,comments,items,models,attributes
0,2018101516,电子美容仪,1498170,33044,33064,143
1,2018112610,螺丝刀,3059917,78033,78942,141
2,2018112614,家用工具组套,1584170,16291,15416,81
3,2019070912,果冻/布丁,2141191,38383,40414,18
4,2019090610,投影仪,1273525,32567,32679,61
5,2019091609,智能门锁,901108,11302,11490,143
6,50006219,电钻,5190272,28638,28901,50
7,121484013,眼霜,4854501,240321,0,0
8,50016098,维生素E,536202,29009,0,0
9,50012097,料理机,5228190,37145,25308,18
10,50013008,电饭煲,4389694,41735,18684,1388
11,50008950,测距仪,338235,8494,8149,36
